Time,TZ,BL1.5LBA50CF1oo2_2JT01TValue,BL1.5LBA50CF1oo2_1JT01TValue,BL1.5LBA50CF1oo2_1oo2_JT01TValue,BL1.5LBA60CF1oo2_1oo2_JT01TValue,BL1.5LBA60CF1oo2_2JT01TValue,BL1.5LBA60CF1oo2_1JT01TValue,BL1.4LBB10FP905_ZE02U,BL1.4LBB10FP905_ZE01U,BL1.4LBB10FT905_ZE01U,BL1.BOP_5MAC10CP001_AI_JT01TValue,BL1.BOP_5MAC10CT001_AI_JT01TValue,BL1.BOP_5MAC20CP001_AI_JT01TValue,BL1.BOP_5MAC20CT001_AI_JT01TValue,BL1.BOP_5MAC30CP001_AI_JT01TValue,BL1.BOP_5MAC30CT001_AI_JT01TValue,BL1.BOP_5MAC40CP001_AI_JT01TValue,BL1.BOP_5MAC40CT001_AI_JT01TValue,BL1.4MAC10FT950_ZE01U,BL1.4MAM10CP010_XE01U,BL1.5LCA10FP920_ZE02U
#!Units,,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,barg,Bar,deg C,bar,deg C,bar,deg C,bar,deg C,bar,deg C,deg C,barg,bara
#!Description,Time Zone Information,FLOW AT SUPERHEATER 1 OUTPUT,FLOW AT SUPERHEATER 1 OUTPUT,FLOW AT SUPERHEATER 1 OUTPUT,FLOW AT SUPERHEATER 2 OUTPUT,FLOW AT SUPERHEATER 2 OUTPUT,FLOW AT SUPERHEATER 2 OUTPUT,LPT Pressure Inlet Steam,LPT Pressure LP Inlet Steam,LPT Inlet Steam Temperature ,PRESSURE FROM EXHAUST LP TURBINE TO DEAERATOR,TEMPERATURE FROM EXHAUST LP TURBINE TO DEAERATOR,PRESSURE FROM EXHAUST LP TURBINE TO LP3 PREHEATERS,TEMPERATURE FROM EXHAUST LP TURBINE TO LP3 PREHEATERS,LP ST EXTRACTION TO LP PREHEATER 2 PRESSURE,LP ST EXTRACTION TO LP PREHEATER 2 TEMPERATURE,LP ST EXTRACTION TO LP PREHEATER 1 PRESSURE,LP ST EXTRACTION TO LP PREHEATER 1 TEMPERATURE,LPT Exhaust Temperature,Pressure Leak Off Steam,Condenser Pressure
00:00.0,+02:00,30.2743,30.4588,30.3666,29.5296,29.4385,29.5933,17.0695,17.0722,383.1439,10.0299,280.0618,3.6489,242.7894,0.6882,115.8775,-0.1896,75.2148,36.3271,-0.0432,0.0603
01:00.0,+02:00,30.2468,30.4766,30.3617,29.5334,29.4963,29.5887,17.0704,17.0731,383.0788,10.0312,279.2643,3.6492,242.7778,0.6882,115.8637,-0.1895,75.2148,36.338,-0.0432,0.0604
02:00.0,+02:00,30.2456,30.4684,30.357,29.5341,29.4395,29.5474,17.0876,17.0903,383.1439,10.04,278.3366,3.6565,242.8357,0.6903,115.8431,-0.1887,75.2474,36.4465,-0.0428,0.0605
03:00.0,+02:00,30.2593,30.4196,30.3394,29.4783,29.4132,29.5566,17.0704,17.0731,383.1276,10.0299,279.9479,3.6464,242.7199,0.6873,115.8087,-0.1899,75.1758,36.4465,-0.0429,0.0605
04:00.0,+02:00,30.2486,30.4415,30.345,29.4979,29.4659,29.5469,17.0867,17.0903,383.3229,10.0419,279.3782,3.6553,242.7662,0.6903,115.8156,-0.1887,75.2604,36.5007,-0.0426,0.0608
05:00.0,+02:00,30.2726,30.457,30.3648,29.4805,29.4129,29.5464,17.0858,17.0894,383.3066,10.0407,278.4342,3.6524,242.7199,0.6892,115.8362,-0.1893,75.2604,36.4465,-0.0427,0.0605
06:00.0,+02:00,30.2563,30.4039,30.3301,29.496,29.4053,29.58,16.885,16.8877,383.3229,9.8603,278.3528,3.5884,242.7083,0.6718,115.8156,-0.1936,75.1628,36.3271,-0.0428,0.06
07:00.0,+02:00,30.2603,30.4178,30.339,29.4697,29.4021,29.5455,17.0957,17.0993,383.0951,10.047,279.3457,3.6569,242.6852,0.69,115.7744,-0.1891,75.2148,36.3814,-0.0428,0.0603
08:00.0,+02:00,30.2638,30.3986,30.3312,29.4662,29.367,29.5303,17.0966,17.0993,383.3229,10.0502,278.3366,3.6648,242.7315,0.6932,115.7469,-0.188,75.2995,36.3922,-0.0428,0.0605
09:00.0,+02:00,30.2659,30.4148,30.3404,29.4837,29.4145,29.5637,17.093,17.0957,383.1602,10.0457,277.36,3.6683,242.8009,0.6946,115.8775,-0.1871,75.3776,36.5007,-0.0428,0.0608
10:00.0,+02:00,30.2713,30.4103,30.3408,29.4733,29.4043,29.5648,17.0885,17.0912,383.1113,10.0432,276.4485,3.6664,242.8357,0.6941,115.9324,-0.1873,75.3711,36.4356,-0.043,0.0608
11:00.0,+02:00,30.2464,30.4209,30.3337,29.5017,29.4217,29.568,17.0939,17.0966,383.0788,10.0483,275.4883,3.6709,242.882,0.6955,115.9737,-0.1868,75.4036,36.4356,-0.043,0.0607
12:00.0,+02:00,30.2767,30.481,30.3788,29.5004,29.4534,29.5258,17.0812,17.0849,383.1927,10.0388,274.707,3.6667,242.8935,0.6941,116.0218,-0.1871,75.3711,36.4465,-0.0427,0.0607
13:00.0,+02:00,30.2535,30.4521,30.3528,29.5052,29.4312,29.5391,17.0695,17.0722,383.3717,9.985,273.9583,3.6521,242.882,0.6905,116.008,-0.188,75.3711,36.5007,-0.0424,0.0608
14:00.0,+02:00,30.2571,30.4968,30.3769,29.5415,29.5078,29.5433,17.0478,17.0505,382.9811,9.9805,276.709,3.6409,242.7662,0.687,115.9805,-0.1893,75.2799,36.4465,-0.0427,0.0607
